Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
25.02.20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
26.02.20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
27.02.20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
28.02.20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
29.02.20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
01.03.20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
02.03.20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
03.03.20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
04.03.20,,,,,,,,0,,,,,,,,,,,,,,,1,,,,1
05.03.20,,,,,,,,0,,,,,,,,,,,,,,,1,,,,1
06.03.20,,,,,,,,0,,,,,,,,,,,,,,,2,,,,2
07.03.20,,,,,,,,0,,,,,,,,,,,,,,,4,,,,4
08.03.20,,,,,,,,0,,,,,,,,,,,,,,,3,,,,3
09.03.20,,,,,,,,3,,,,,,,,,,,,,,,5,1,,,9
10.03.20,,,,,,,,4,,,,,1,,,,,,,,,,6,1,,,12
11.03.20,,,,,,2,,6,,,,,1,,,,,,,,,,7,1,,,17
12.03.20,,,,,,,,6,,,,,1,,,,,,,,,,8,1,,,18
13.03.20,,,,,,,,7,,,,,1,,,,,,,,13,,10,1,,,34
14.03.20,,,,,,,,8,,,,,1,,,,,,,,,,14,1,,,39
15.03.20,,,,,,,,12,,,,,1,,,,,,,,,,19,1,,,48
16.03.20,,,,,,,,10,,,,,2,,,,,,,,,,27,1,,,55
17.03.20,,,,,,,,19,,,,,4,,,,,,,,,,35,2,,,75
18.03.20,,,,,,,5,20,,,,,3,,,,,,,,,,34,2,,,79
19.03.20,6,,,,,,5,19,,,,,3,,,,,,,,33,,32,2,,,102
20.03.20,4,,,,,,6,22,,,,,4,,,,,,,,35,,30,5,,,108
21.03.20,,,,,,,6,25,,,,,5,,,,,,,,40,,23,6,,,111
22.03.20,,,,,,,8,36,,,1,,6,,,,,,,,46,,23,7,,,133
23.03.20,3,,,,,,7,43,,,2,,11,,,,,,,,45,,41,10,,,164
24.03.20,2,,,,,,7,41,,,3,,8,,,,,,,,50,,46,11,,,170
25.03.20,5,,,,,,7,50,,,3,,10,,,,,,,,57,,58,11,,,203
26.03.20,10,,,,,8,5,52,,,4,,9,,,,,,,,60,,66,11,,,225
27.03.20,12,,,,,8,8,54,,,4,,9,,,,,,,,61,,73,15,,,244
28.03.20,,,,,,11,12,59,,,5,,11,,,,,,,,69,,76,19,,,274
29.03.20,,,,,,12,13,59,,,5,,16,,,,,,,,69,,78,23,,,287
30.03.20,25,,,21,,12,16,57,,,5,,12,,,,,,,,75,,76,21,,,320
31.03.20,25,,,23,,15,20,64,,,4,,14,,,,,,,,74,,80,23,,,342
01.04.20,27,,,26,,16,23,64,,,5,12,14,,,,,,,,76,,83,23,,,369
02.04.20,27,,,24,,17,23,62,,,4,11,12,,,11,3,,,,75,,83,23,,,375
03.04.20,27,,,30,,17,21,65,,,3,12,11,,,12,,,,,75,,,27,,,386